Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:08:41 

Rota: /login, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:08:42 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:08:42 

Rota: /login, Metodo HTTP: POST, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:08:58 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:08:58 

Rota: /login/delete/d9de9158-a34e-4ec3-968f-91b14a2cf0c2?_method=DELETE, Metodo HTTP: DELETE, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:08:59 

Rota: /users/show, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:08:59 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:08:59 

Rota: /login, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:01 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:01 

Rota: /login, Metodo HTTP: POST, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:09 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:09 

Rota: /login/delete/72887e8c-5d3e-4fa4-a95f-1ecc9214ded4?_method=DELETE, Metodo HTTP: DELETE, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:11 

Rota: /users/show, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:11 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:11 

Rota: /login, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:12 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:12 

Rota: /users/create, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:13 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:13 

Rota: /users/create, Metodo HTTP: POST, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:40 

Rota: /login, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:40 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:40 

Rota: /login, Metodo HTTP: POST, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:51 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:51 

Rota: /login/update/d4b3bd02-6948-4553-8cd9-0b26bc418787, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:59 

Rota: /favicon.ico, Metodo HTTP: GET, IP: ::1, Status Servidor: 200, Data: 08 06 2022 18:09:59 

